time,Bx,By,Bz,BT
1.987926,0.68,36.51,-22.14,42.70
1.998362,0.68,36.64,-22.37,42.93
2.009886,0.73,36.54,-22.44,42.89
2.021302,0.64,36.38,-22.44,42.75
2.029005,0.53,36.34,-22.65,42.82
2.039500,0.39,36.24,-22.43,42.62
2.048967,0.17,36.36,-22.41,42.71
2.058135,0.06,36.21,-22.43,42.59
2.070411,0.19,36.34,-22.50,42.74
2.078539,0.30,36.21,-22.50,42.63
2.087814,0.08,36.39,-22.33,42.70
2.099151,0.08,36.41,-22.65,42.88
2.110561,0.04,36.36,-22.43,42.72
2.121272,0.15,36.45,-22.50,42.84
2.128617,0.30,36.43,-22.88,43.02
2.138195,0.34,36.51,-22.76,43.02
2.149012,0.36,36.62,-22.97,43.23
2.158676,0.24,36.69,-22.93,43.27
2.172082,0.38,36.66,-23.14,43.35
2.178972,0.38,36.66,-23.21,43.39
2.188673,0.41,36.66,-23.08,43.32
2.198495,0.64,36.56,-22.86,43.12
2.208533,0.43,36.71,-22.39,43.00
2.221266,0.38,36.68,-22.39,42.97
2.229263,0.43,36.51,-22.24,42.75
2.238830,0.24,36.56,-22.18,42.77
2.249458,0.43,36.56,-22.09,42.72
2.258456,0.41,36.45,-22.03,42.59
2.272425,0.51,36.62,-22.09,42.77
2.278187,0.43,36.56,-22.50,42.93
2.289012,0.60,36.62,-22.58,43.02
2.298329,0.66,36.64,-22.56,43.03
2.308339,0.51,36.69,-22.26,42.92
2.321384,0.60,36.77,-22.22,42.96
2.329338,0.39,36.56,-22.18,42.77
2.338854,0.53,36.58,-22.16,42.77
2.348718,0.51,36.60,-22.18,42.80
2.358161,0.47,36.79,-21.98,42.85
2.371909,0.45,36.71,-22.28,42.94
2.378657,0.41,36.81,-22.11,42.94
2.388008,0.62,36.64,-22.54,43.02
2.399006,0.66,36.64,-22.54,43.02
2.413022,0.38,36.81,-22.52,43.15
2.426315,0.32,36.88,-22.54,43.22
2.428860,0.34,36.77,-22.46,43.09
2.439567,0.45,36.73,-22.41,43.03
2.448179,0.36,36.68,-22.16,42.85
2.458381,0.13,36.60,-22.44,42.93
2.470776,-0.02,36.77,-22.37,43.04
2.478254,-0.00,36.53,-22.39,42.84
2.488929,0.36,36.51,-22.58,42.92
2.498467,0.38,36.53,-22.46,42.88
2.510766,0.34,36.58,-22.59,43.00
2.522102,0.26,36.43,-22.71,42.93
2.529036,0.13,36.49,-22.56,42.90
2.538994,0.47,36.56,-22.65,43.01
2.549949,0.58,36.38,-22.69,42.87
2.558691,0.36,36.62,-22.63,43.05
2.567927,0.32,36.68,-22.43,42.99
2.578391,0.34,36.56,-22.37,42.86
2.595694,0.32,36.54,-22.44,42.89
2.598058,0.28,36.54,-22.44,42.89
2.608771,0.43,36.54,-22.61,42.98
2.618266,0.30,36.53,-22.44,42.87
2.628511,0.36,36.66,-22.18,42.85
2.639931,0.58,36.54,-22.26,42.79
2.648336,0.64,36.60,-22.37,42.90
2.658490,0.41,36.75,-22.26,42.97
2.668383,0.41,36.90,-22.16,43.05
2.679734,0.41,37.03,-22.14,43.15
2.696815,0.38,36.88,-22.26,43.08
2.699122,0.45,36.83,-22.46,43.14
2.709695,0.30,36.75,-22.50,43.09
2.718676,0.49,36.66,-22.76,43.15
2.729949,0.60,36.64,-22.78,43.15
2.738722,0.79,36.53,-22.86,43.09
2.748605,0.75,36.51,-23.03,43.17
2.757973,0.96,36.66,-22.86,43.21
2.768626,1.12,36.73,-22.76,43.23
2.780167,1.12,36.56,-22.39,42.89
2.797496,1.12,36.51,-22.63,42.97
2.799816,1.01,36.73,-22.37,43.02
2.809323,0.83,36.60,-22.11,42.77
2.818448,0.90,36.68,-22.24,42.90
2.828660,1.03,36.49,-22.12,42.68
2.839479,0.94,36.38,-22.28,42.66
2.849165,0.92,36.28,-22.39,42.64
2.859596,0.68,36.53,-22.24,42.77
2.868631,0.66,36.54,-22.26,42.79
2.879115,0.60,36.47,-22.50,42.86
2.893996,0.41,36.36,-22.63,42.83
2.898450,0.47,36.30,-22.84,42.89
2.908333,0.45,36.47,-22.80,43.01
2.918393,0.49,36.47,-22.84,43.03
2.928629,0.49,36.47,-22.84,43.03
2.938368,0.58,36.49,-23.01,43.14
2.947729,0.66,36.53,-22.99,43.16
2.957900,0.79,36.51,-22.78,43.04
2.967765,1.12,36.71,-22.91,43.29
2.977873,0.92,36.60,-22.86,43.16
2.993895,0.81,36.49,-22.80,43.03
2.998008,0.83,36.32,-23.16,43.08
3.007839,0.47,36.41,-22.88,43.00
3.018258,0.64,36.21,-23.18,42.99
3.028795,0.64,36.23,-23.18,43.01
3.040087,0.47,36.17,-23.04,42.89
3.049166,0.36,35.98,-22.93,42.67
3.058183,0.34,36.11,-22.67,42.64
3.068301,0.43,36.17,-22.93,42.83
3.078600,0.21,36.17,-22.76,42.74
3.095090,0.53,36.28,-22.91,42.91
3.098041,0.47,36.36,-22.71,42.87
3.108500,0.47,36.19,-22.44,42.58
3.118571,0.62,36.21,-22.37,42.56
3.128495,0.66,36.51,-22.44,42.86
3.142310,0.84,36.73,-22.29,42.98
3.149111,0.94,36.56,-22.14,42.76
3.158785,1.03,36.62,-22.05,42.76
3.168717,0.92,36.54,-22.01,42.67
3.179657,1.05,36.66,-22.12,42.83
3.198789,0.98,36.90,-22.29,43.12
3.202220,1.07,37.01,-22.46,43.31
3.212338,0.96,36.88,-22.41,43.16
3.218959,0.86,36.68,-22.82,43.20
3.228400,0.98,36.54,-22.78,43.07
3.240025,0.83,36.64,-22.58,43.04
3.248898,1.14,36.68,-22.71,43.15
3.258516,0.94,36.73,-22.58,43.12
3.268914,1.16,36.84,-22.44,43.16
3.278035,0.99,36.73,-22.50,43.09
3.295044,0.99,36.56,-22.41,42.89
3.298044,1.03,36.54,-22.14,42.74
3.308707,0.94,36.86,-22.35,43.12
3.318408,1.18,36.98,-22.16,43.12
3.328848,0.96,36.88,-22.18,43.05
3.340259,1.09,36.75,-22.28,42.99
3.348869,0.98,36.53,-22.26,42.78
3.359459,0.92,36.64,-22.09,42.79
3.368099,1.03,36.77,-22.41,43.07
3.377889,1.12,36.86,-22.63,43.27
3.394226,1.03,36.62,-22.50,42.99
3.398122,0.96,36.49,-22.76,43.02
3.407516,1.05,36.60,-22.80,43.13
3.417977,1.18,36.60,-22.91,43.20
3.427774,0.94,36.69,-22.95,43.29
3.440159,1.03,36.62,-23.14,43.33
3.448771,0.81,36.60,-23.03,43.25
3.458507,0.47,36.39,-22.71,42.90
3.468348,0.45,36.66,-22.69,43.11
3.478522,0.26,36.68,-22.50,43.03
3.496837,0.19,36.64,-22.48,42.99
3.498819,-0.02,36.56,-21.98,42.66
3.510171,0.32,36.64,-22.11,42.79
3.518672,0.39,36.68,-22.11,42.82
