time,Bx,By,Bz,BT
22.437963,33.99,12.88,-22.43,42.71
22.448068,33.84,12.99,-22.84,42.85
22.458381,33.90,13.01,-22.73,42.84
22.467887,34.07,12.90,-22.80,42.98
22.478000,34.18,12.79,-22.56,42.90
22.487996,34.44,12.81,-22.46,43.07
22.498256,34.74,12.79,-22.58,43.36
22.512513,35.01,12.79,-22.39,43.48
22.539267,35.19,12.90,-22.43,43.68
22.540591,35.10,12.66,-22.24,43.44
22.541301,35.06,12.69,-22.05,43.32
22.547668,35.21,12.64,-22.41,43.61
22.557771,35.33,12.69,-22.52,43.77
22.567909,35.31,12.86,-22.44,43.77
22.577842,35.19,12.86,-22.48,43.70
22.587751,35.01,12.92,-22.46,43.55
22.598284,34.91,12.69,-22.76,43.57
22.612981,35.38,12.77,-22.86,44.01
22.640054,35.40,12.71,-22.93,44.05
22.641529,35.19,12.84,-22.56,43.73
22.642422,34.97,12.60,-22.46,43.43
22.648909,35.14,12.30,-22.89,43.70
22.658031,35.23,12.17,-23.01,43.80
22.667807,35.25,12.00,-22.86,43.69
22.677910,35.44,12.15,-22.61,43.76
22.687536,34.95,12.15,-22.48,43.30
22.698144,35.10,12.28,-22.48,43.45
22.709845,35.23,12.11,-22.63,43.59
22.730415,35.04,12.17,-22.63,43.45
22.732231,34.76,12.21,-22.16,43.00
22.740522,34.59,12.38,-21.99,42.82
22.748041,34.93,12.41,-22.31,43.27
22.759538,35.10,12.34,-22.46,43.46
22.769301,35.19,12.26,-22.46,43.51
22.778482,35.06,12.13,-22.56,43.42
22.788317,34.89,12.19,-22.22,43.13
22.799356,35.36,12.38,-22.31,43.61
22.815812,35.59,12.41,-22.59,43.94
22.818478,35.59,12.28,-22.37,43.79
22.828209,35.40,12.38,-22.07,43.51
22.842450,35.25,12.36,-22.05,43.38
22.848726,35.16,12.56,-22.16,43.42
22.858485,35.25,12.68,-22.03,43.46
22.870269,35.34,12.69,-22.41,43.73
22.878955,35.19,12.39,-22.41,43.52
22.887769,35.23,12.26,-22.28,43.45
22.898366,35.38,12.43,-22.43,43.69
22.913735,35.53,12.39,-22.56,43.87
22.940596,35.51,12.41,-22.43,43.80
22.942117,35.51,12.54,-22.41,43.82
22.942999,35.62,12.43,-22.69,44.03
22.948459,35.46,12.51,-22.80,43.97
22.957894,35.53,12.90,-22.93,44.21
22.968936,35.49,13.09,-23.06,44.31
22.977791,35.38,12.94,-23.40,44.35
22.989431,35.44,13.05,-23.44,44.45
22.997325,35.38,12.99,-23.68,44.51
23.007688,35.59,12.84,-23.70,44.64
23.018483,35.51,12.86,-23.59,44.53
23.027574,35.68,12.73,-23.23,44.44
23.037327,35.61,12.56,-23.19,44.31
23.047568,35.87,12.51,-23.03,44.42
23.058012,35.83,12.60,-22.73,44.26
23.068428,35.70,12.43,-22.86,44.18
23.077522,35.81,12.68,-22.59,44.20
23.088284,35.68,12.77,-22.46,44.05
23.098412,35.66,12.73,-22.24,43.91
23.110057,35.46,12.75,-22.18,43.72
23.127776,35.31,12.69,-21.86,43.42
23.128797,34.80,12.64,-21.83,42.98
23.138031,34.80,12.64,-21.90,43.02
23.148362,34.88,12.73,-21.84,43.08
23.158479,34.78,12.53,-22.03,43.03
23.170988,34.89,12.32,-22.03,43.07
23.177649,34.73,12.45,-22.01,42.96
23.188077,34.95,12.53,-22.26,43.29
23.199391,35.23,12.56,-22.33,43.56
23.216610,35.23,12.73,-22.22,43.55
23.218514,35.19,12.84,-22.24,43.57
23.228273,34.99,12.86,-22.05,43.31
23.238393,34.84,13.07,-21.83,43.14
23.248405,34.89,13.18,-21.98,43.29
23.258085,34.99,13.03,-22.20,43.44
23.270025,34.91,12.98,-22.20,43.36
23.278452,34.74,12.94,-22.33,43.28
23.287961,34.71,12.88,-22.43,43.28
23.298214,34.82,12.79,-22.22,43.24
23.316610,34.73,12.79,-22.12,43.11
23.318948,34.82,12.64,-22.12,43.15
23.328827,34.52,12.64,-21.99,42.84
23.339826,34.37,12.62,-21.69,42.56
23.347978,34.39,12.56,-21.58,42.50
23.357869,34.26,12.45,-21.66,42.40
23.367861,34.39,12.45,-21.79,42.57
23.378380,34.41,12.62,-22.03,42.76
23.396090,34.65,12.58,-22.07,42.96
23.398364,34.78,12.54,-22.28,43.17
23.415886,34.91,12.68,-22.28,43.31
23.417854,34.97,12.79,-22.28,43.39
23.428204,34.97,12.92,-22.41,43.49
23.437948,35.10,13.20,-22.29,43.63
23.447974,35.10,13.24,-22.37,43.68
23.458724,35.10,13.01,-22.11,43.47
23.467712,34.89,12.98,-22.20,43.34
23.478303,34.99,12.84,-22.24,43.40
23.493394,35.14,12.66,-22.22,43.46
23.498896,35.33,12.58,-22.37,43.66
23.508121,35.31,12.36,-22.41,43.60
23.519383,35.49,12.13,-22.48,43.73
23.531139,35.46,12.13,-22.29,43.60
23.537647,35.42,12.08,-22.50,43.66
23.547930,35.62,12.13,-22.76,43.98
23.557645,35.46,12.38,-22.52,43.79
23.567997,35.59,12.53,-22.67,44.01
23.578103,35.70,12.49,-22.69,44.10
23.593538,35.64,12.64,-22.48,44.00
23.600186,35.36,12.73,-22.48,43.79
23.608297,35.70,12.49,-22.69,44.10
23.617781,35.87,12.79,-22.84,44.40
23.628527,35.74,12.79,-22.71,44.23
23.637845,35.74,12.79,-22.67,44.21
23.647808,35.51,12.73,-22.69,44.02
23.658119,35.55,12.66,-22.82,44.10
23.667777,35.70,12.56,-22.97,44.27
23.677581,35.89,12.53,-23.04,44.45
23.690087,35.34,12.60,-22.95,43.98
23.697970,35.27,12.43,-22.91,43.86
23.707852,35.59,12.34,-22.82,44.04
23.718199,35.68,12.08,-22.95,44.11
23.728202,35.55,12.06,-22.97,44.01
23.752249,35.48,12.08,-23.10,44.02
23.754601,35.57,12.09,-23.21,44.16
23.757976,35.53,12.02,-23.06,44.03
23.768605,35.66,11.98,-23.03,44.11
23.777919,35.66,11.94,-22.78,43.97
23.799071,35.38,11.98,-22.63,43.68
23.801328,35.27,12.08,-22.67,43.63
23.812840,35.34,12.04,-22.33,43.51
23.817790,34.88,12.13,-22.11,43.04
23.827713,34.73,12.13,-22.24,42.98
23.838252,34.58,12.23,-22.33,42.94
23.848235,34.59,12.26,-22.31,42.95
23.857997,34.63,12.36,-22.39,43.05
23.867799,34.69,12.39,-22.52,43.17
23.877835,34.71,12.36,-22.67,43.26
23.899055,34.74,12.38,-22.82,43.37
23.901333,35.06,12.36,-22.95,43.69
23.921531,35.12,12.41,-22.74,43.64
23.923444,34.91,12.56,-22.56,43.42
23.928504,35.14,12.53,-22.71,43.67
23.938911,34.89,12.45,-22.76,43.48
23.948582,34.84,12.56,-22.74,43.46
23.958544,34.91,12.45,-22.73,43.48
23.968003,34.84,12.56,-22.76,43.47
23.978246,34.91,12.58,-22.65,43.48
23.995895,34.65,12.60,-22.35,43.12
23.999280,34.86,12.53,-22.56,43.37
24.015147,35.01,12.51,-22.50,43.45
24.018111,35.25,12.71,-22.39,43.65
24.029305,35.42,12.83,-22.29,43.77
24.037913,35.33,12.92,-22.26,43.70
24.048182,35.61,12.79,-22.24,43.88
24.058356,35.38,12.77,-22.33,43.74
24.068110,35.55,12.81,-22.56,44.01
24.078535,35.55,12.75,-22.37,43.89
24.095019,35.29,13.03,-22.24,43.70
24.098576,35.14,12.71,-22.11,43.42
24.113770,35.03,12.49,-22.09,43.25
24.118299,34.88,12.53,-22.07,43.13
24.127804,34.63,12.43,-22.01,42.88
24.139756,34.86,12.36,-21.94,43.00
24.148898,34.84,12.43,-21.68,42.87
24.158234,35.10,12.45,-21.75,43.13
24.169161,35.23,12.28,-21.92,43.27
24.178179,35.12,12.30,-21.98,43.21
24.192144,35.23,12.19,-22.09,43.33
24.198176,35.34,12.08,-21.83,43.26
24.208418,35.31,12.32,-22.01,43.39
24.218595,35.31,12.38,-22.07,43.44
24.228918,35.18,12.17,-22.26,43.37
24.238589,34.84,12.08,-22.54,43.21
24.249083,34.59,11.96,-22.35,42.89
24.259101,34.74,12.19,-22.31,43.05
24.268802,34.71,12.32,-22.44,43.13
24.279038,34.74,12.47,-22.39,43.17
24.292609,35.01,12.17,-22.54,43.38
24.297995,35.01,12.06,-22.41,43.28
24.308050,35.14,12.17,-22.41,43.41
24.318049,35.49,12.39,-22.41,43.77
24.328227,35.78,12.56,-22.33,44.00
24.337997,35.72,12.30,-22.78,44.11
24.347819,35.74,12.21,-22.58,44.00
24.358529,35.74,12.30,-22.67,44.07
24.368275,35.49,12.36,-22.56,43.83
24.378242,35.42,12.36,-22.33,43.66
24.392183,35.25,12.28,-22.46,43.57
24.398450,35.06,12.13,-22.24,43.26
24.408555,35.01,12.04,-22.39,43.26
24.418709,35.29,12.30,-22.22,43.48
24.427932,35.21,12.28,-22.20,43.40
24.440995,35.21,12.28,-22.29,43.45
24.447746,35.53,12.34,-22.52,43.84
24.458314,35.49,12.71,-22.88,44.10
24.467994,35.89,12.75,-22.88,44.43
24.479364,35.81,12.68,-22.99,44.40
24.502705,35.74,12.81,-22.76,44.26
24.505328,35.59,12.56,-22.73,44.05
24.508433,35.44,12.75,-22.48,43.86
24.518688,35.53,12.64,-22.52,43.92
24.531395,35.25,12.62,-22.22,43.54
24.544064,35.40,12.54,-22.22,43.64
24.548645,35.31,12.54,-22.18,43.54
24.558169,35.36,12.90,-21.96,43.58
24.568679,35.42,12.64,-22.43,43.78
24.578164,35.48,12.73,-22.26,43.77
24.598495,35.55,12.71,-22.54,43.97
24.600587,35.51,12.81,-22.59,44.00
24.617999,35.76,12.84,-22.76,44.29
24.619418,35.64,12.81,-22.93,44.28
24.634073,35.51,13.03,-22.89,44.22
24.643529,35.27,12.84,-22.78,43.91
24.648408,35.27,12.83,-22.56,43.79
24.658143,35.01,12.98,-22.54,43.61
24.667827,35.01,12.98,-22.59,43.64
24.677901,34.99,12.88,-22.58,43.59
24.695727,34.78,12.99,-22.44,43.39
24.697568,34.89,12.98,-22.29,43.39
24.716121,34.86,12.81,-22.11,43.22
24.717694,35.16,12.71,-22.44,43.60
24.727521,35.25,12.98,-22.35,43.71
24.737955,35.14,12.92,-22.37,43.61
24.753994,35.34,12.77,-22.20,43.65
24.757943,35.12,12.73,-22.01,43.36
24.767864,35.18,12.60,-22.03,43.38
24.778682,34.95,12.53,-21.94,43.12
24.801313,34.93,12.36,-21.96,43.07
24.803697,34.91,12.28,-21.81,42.96
24.822556,34.78,12.13,-21.90,42.85
24.824144,35.10,12.13,-22.07,43.20
24.828062,35.10,12.17,-22.24,43.30
24.837966,35.25,12.32,-22.41,43.55
24.848139,35.42,12.36,-22.31,43.65
24.858111,35.51,12.36,-22.41,43.77
24.868045,35.55,12.43,-22.65,43.95
24.878007,35.55,12.66,-22.91,44.15
24.888143,35.48,12.69,-22.80,44.04
24.898124,35.19,12.60,-22.82,43.80
24.917298,35.12,12.69,-22.50,43.60
24.918533,35.23,12.69,-22.29,43.58
24.927818,35.12,12.66,-22.41,43.54
24.937621,35.10,12.79,-22.33,43.52
24.948681,35.19,12.83,-22.29,43.59
24.958429,35.19,12.60,-21.94,43.34
24.967934,35.36,12.60,-21.94,43.48
24.978412,35.57,12.62,-21.84,43.61
24.987818,35.42,12.69,-21.77,43.47
25.003815,35.23,12.73,-21.62,43.25
25.008562,35.25,12.84,-21.49,43.23
25.018284,35.42,12.68,-21.32,43.24
25.028725,35.29,12.64,-21.08,43.00
25.038076,35.36,12.60,-21.09,43.06
25.048310,35.01,12.58,-21.21,42.82
25.059370,35.34,12.58,-21.08,43.03
25.068360,35.44,12.15,-21.19,43.04
25.078946,35.59,11.81,-21.51,43.23
25.088001,35.61,11.42,-21.71,43.24
25.100693,35.57,11.42,-21.90,43.30
25.125777,35.83,11.10,-22.05,43.51
25.128559,35.79,11.04,-22.43,43.66
25.129834,36.36,10.84,-22.35,44.03
25.137813,36.38,10.56,-22.71,44.16
25.148085,36.38,10.63,-22.89,44.28
25.158268,36.34,10.46,-23.06,44.29
25.168245,36.36,10.33,-23.14,44.32
25.178087,36.34,9.94,-23.10,44.19
25.188040,36.30,9.56,-23.12,44.09
25.203036,36.28,9.21,-22.93,43.90
25.230610,36.06,8.79,-23.18,43.75
25.233641,35.72,8.57,-23.12,43.40
25.235060,35.83,8.42,-23.14,43.48
25.238798,35.91,8.10,-22.95,43.38
25.248078,35.89,7.93,-22.76,43.23
25.258587,36.15,7.74,-23.16,43.62
25.268538,36.23,7.69,-23.19,43.70
25.278742,36.02,7.48,-23.16,43.47
25.288272,36.32,7.26,-23.14,43.67
25.297563,36.34,6.98,-22.95,43.54
25.308549,36.77,6.75,-23.27,44.03
25.318073,36.98,6.64,-23.51,44.32
25.328418,37.16,6.28,-23.46,44.39
25.338774,36.86,5.98,-23.29,44.01
25.348323,36.73,5.76,-23.27,43.86
25.358119,36.94,5.70,-23.27,44.03
25.368153,36.94,5.76,-23.36,44.08
25.378183,37.26,5.74,-23.51,44.43
25.388611,37.12,5.46,-23.18,44.10
25.399988,36.94,5.04,-22.97,43.79
25.426963,37.01,4.91,-22.97,43.84
25.429340,37.07,4.80,-23.01,43.89
25.430295,36.88,4.84,-22.63,43.54
25.437995,37.16,4.67,-22.78,43.84
25.448421,36.94,4.39,-22.67,43.56
25.459104,36.75,4.31,-22.48,43.30
25.468414,36.88,4.22,-22.61,43.47
25.478948,36.88,4.26,-22.52,43.42
25.488865,36.98,4.20,-22.43,43.45
25.505010,36.99,4.09,-22.31,43.39
25.510505,37.31,3.96,-22.63,43.82
25.518219,37.14,3.81,-22.71,43.70
25.533359,37.12,3.84,-22.26,43.46
25.538744,37.20,3.60,-22.44,43.59
25.548156,37.18,3.39,-22.29,43.49
25.560191,37.41,3.38,-22.52,43.79
25.568043,37.16,3.38,-22.69,43.67
25.577963,37.29,3.24,-22.50,43.68
25.588702,37.24,3.19,-22.69,43.72
25.609398,37.12,3.04,-22.48,43.51
25.610628,37.26,2.74,-22.71,43.72
25.618273,37.58,2.55,-22.97,44.11
25.628560,37.35,2.53,-22.89,43.88
25.637879,37.56,2.29,-22.93,44.06
25.647989,37.67,1.97,-22.93,44.14
25.657714,37.76,1.99,-23.04,44.28
25.667861,37.74,2.06,-22.97,44.23
25.678096,37.93,2.10,-23.10,44.46
25.688313,38.01,2.04,-23.29,44.62
25.705606,37.86,2.01,-23.06,44.37
25.708335,37.89,1.89,-23.34,44.55
25.717817,37.69,1.86,-23.36,44.38
25.734364,37.48,1.91,-23.36,44.21
25.738450,37.78,1.73,-23.48,44.51
25.759883,37.95,1.37,-23.48,44.64
25.761663,37.99,1.26,-23.38,44.62
25.769753,38.10,1.28,-23.46,44.76
25.778130,38.06,1.09,-23.14,44.56
25.788977,37.93,1.01,-23.01,44.37
25.801276,37.80,1.05,-23.04,44.28
25.816696,37.91,0.96,-22.89,44.30
25.818102,37.69,1.03,-23.01,44.17
25.828164,37.73,0.94,-23.14,44.27
25.838466,37.82,0.92,-23.31,44.43
25.847854,37.99,0.84,-23.27,44.56
25.858716,37.97,0.92,-23.53,44.68
25.868036,38.18,0.75,-23.85,45.02
25.879087,38.16,0.66,-23.74,44.94
25.888196,38.16,0.60,-23.91,45.03
25.899254,38.01,0.58,-23.83,44.86
25.908754,37.86,0.64,-23.70,44.67
25.918074,37.86,0.68,-23.85,44.75
25.927707,37.50,0.53,-23.87,44.45
25.938650,37.61,0.64,-23.98,44.61
25.948867,37.29,0.88,-23.62,44.16
25.959043,37.24,1.09,-23.53,44.06
25.968732,37.07,1.11,-23.34,43.82
25.978514,37.20,1.11,-23.21,43.86
25.989111,37.16,0.98,-23.21,43.83
26.016973,37.16,0.96,-22.71,43.56
26.018740,37.24,1.07,-22.69,43.62
26.019638,36.94,1.05,-22.46,43.24
26.034057,37.20,1.01,-22.54,43.51
26.037950,37.65,0.73,-22.71,43.97
26.047718,38.04,0.92,-23.01,44.47
26.060959,37.93,0.73,-23.27,44.51
26.068387,37.99,1.01,-23.18,44.51
26.078729,37.97,1.05,-23.19,44.50
26.088824,38.21,0.92,-23.19,44.71
26.098323,38.29,0.94,-23.23,44.79
26.120835,38.21,0.92,-22.97,44.59
26.123257,37.73,1.01,-22.76,44.07
26.142740,37.71,0.96,-22.59,43.97
26.144273,37.80,1.16,-22.69,44.10
26.148102,37.76,1.05,-22.78,44.11
26.158102,37.95,0.90,-23.04,44.41
26.168271,37.63,0.92,-22.80,44.01
26.179010,37.67,1.07,-22.82,44.05
26.188439,37.76,1.05,-23.12,44.29
26.198424,37.89,1.11,-22.99,44.33
26.218789,37.74,0.83,-22.97,44.19
26.220445,37.86,0.62,-22.39,43.98
26.240944,38.08,0.84,-22.26,44.12
26.243848,37.97,0.83,-22.28,44.03
26.247710,37.95,1.11,-22.31,44.04
26.257883,38.12,0.90,-22.37,44.21
26.268202,38.14,0.92,-22.43,44.25
26.278018,38.36,0.99,-22.69,44.58
26.288114,38.44,1.18,-22.93,44.77
26.298742,38.21,1.35,-23.19,44.72
26.308322,38.03,1.33,-23.29,44.61
26.322546,37.91,1.22,-23.21,44.47
26.352108,38.03,1.12,-23.29,44.60
26.354150,37.76,1.16,-23.40,44.44
26.355812,37.44,1.14,-23.21,44.07
26.364347,37.39,1.03,-23.31,44.07
26.368080,37.37,0.88,-23.10,43.94
26.378544,37.50,1.09,-23.01,44.01
26.387913,37.63,0.73,-23.14,44.18
26.398948,37.35,0.83,-22.99,43.86
26.419997,37.33,0.71,-22.91,43.81
26.421777,37.61,0.53,-22.74,43.96
26.442873,37.76,0.47,-22.74,44.09
26.444263,38.04,0.54,-22.65,44.28
26.447972,37.89,0.73,-22.69,44.17
26.458068,37.76,0.69,-22.95,44.19
26.468807,37.58,0.86,-22.89,44.01
26.478903,38.03,0.92,-22.97,44.43
26.488575,37.88,1.03,-23.04,44.35
26.498251,37.52,1.14,-22.95,44.00
26.508231,37.73,1.29,-23.25,44.33
26.523714,37.37,1.22,-23.25,44.03
26.536077,37.39,1.22,-23.10,43.96
26.538484,37.63,0.92,-23.06,44.15
26.548687,37.74,0.79,-22.91,44.16
26.557851,37.67,0.77,-23.25,44.27
26.567884,37.74,0.60,-23.38,44.40
26.578871,37.91,0.73,-23.34,44.53
26.588312,37.97,0.60,-23.21,44.51
26.598443,37.86,0.66,-23.12,44.36
26.623747,38.16,0.71,-23.08,44.60
26.626417,37.93,0.86,-22.91,44.32
26.629214,37.82,0.84,-22.93,44.24
26.638376,37.91,0.84,-22.69,44.19
26.653945,37.89,0.73,-22.50,44.08
26.658487,38.12,0.73,-22.61,44.33
26.668168,38.14,0.71,-22.74,44.41
26.678191,38.19,0.64,-22.63,44.40
26.688201,38.10,0.60,-22.95,44.48
26.698221,38.12,0.49,-23.06,44.56
26.708129,38.40,0.53,-23.03,44.78
26.719984,38.36,0.62,-22.97,44.72
26.742041,38.31,0.98,-22.73,44.55
26.744586,38.31,1.01,-22.97,44.68
26.748276,38.04,0.90,-22.76,44.34
26.757468,38.36,0.90,-23.12,44.80
26.767859,38.46,0.88,-22.93,44.78
26.778922,38.55,0.83,-22.78,44.79
26.788812,38.38,0.81,-22.89,44.70
26.798656,38.31,0.69,-23.06,44.72
26.823654,38.49,0.53,-23.06,44.88
26.826205,38.48,0.49,-22.91,44.78
26.828589,38.36,0.51,-22.76,44.61
26.851920,38.34,0.43,-22.58,44.50
26.854575,38.34,0.56,-22.76,44.59
26.858703,38.40,0.75,-22.86,44.69
26.868206,38.21,0.68,-22.74,44.47
26.878076,38.01,0.66,-22.63,44.24
26.888314,37.97,0.69,-23.03,44.41
26.898013,37.88,0.45,-23.08,44.36
26.908011,37.82,0.49,-23.21,44.38
26.919650,37.52,0.54,-23.36,44.20
26.943797,37.16,0.36,-23.03,43.72
26.947484,36.92,0.24,-22.80,43.39
26.948705,37.16,0.24,-22.97,43.69
26.957863,37.28,0.49,-22.99,43.80
26.968113,37.33,0.45,-22.78,43.74
26.979728,37.31,0.79,-22.82,43.74
26.988514,37.63,0.79,-22.74,43.98
26.998182,37.73,0.99,-22.50,43.94
27.008333,37.99,0.96,-22.88,44.35
27.024606,38.04,1.20,-22.93,44.44
27.029511,38.10,1.28,-22.99,44.52
27.038392,38.18,1.09,-22.91,44.54
27.048030,38.12,1.03,-23.06,44.56
27.058200,38.25,0.81,-22.95,44.61
27.068053,38.25,0.71,-22.95,44.61
27.080259,38.29,0.54,-23.04,44.69
27.088489,38.08,0.54,-22.91,44.45
27.098740,38.42,0.45,-23.01,44.78
27.108289,38.25,0.43,-22.93,44.60
27.125235,38.19,0.36,-22.76,44.46
27.131675,37.95,0.66,-22.69,44.22
27.138443,37.67,0.71,-22.78,44.03
27.155039,37.69,0.62,-22.86,44.08
27.158968,37.69,0.62,-22.93,44.12
27.169751,37.65,0.62,-22.84,44.04
27.179517,37.33,0.60,-22.73,43.71
27.188593,37.31,0.71,-22.71,43.68
27.198617,37.26,0.86,-22.91,43.75
27.208250,37.43,0.71,-23.04,43.96
27.220394,37.37,0.54,-22.93,43.85
27.240196,37.26,0.79,-22.88,43.73
27.241454,37.31,0.58,-22.71,43.68
27.253301,37.58,0.66,-22.73,43.92
27.257445,37.89,0.64,-23.06,44.36
27.267676,37.69,0.36,-23.14,44.22
27.279823,37.95,0.47,-23.33,44.55
27.287853,38.06,0.39,-23.44,44.70
27.297285,38.31,0.58,-23.51,44.95
27.307231,38.68,0.53,-23.94,45.50
27.317666,38.61,0.54,-24.02,45.47
27.327977,38.83,0.51,-24.11,45.71
27.337766,38.85,0.41,-24.13,45.74
27.348003,39.21,0.66,-24.04,45.99
27.358483,39.06,0.53,-23.87,45.78
27.368320,39.19,0.45,-23.68,45.79
27.378682,39.38,0.30,-23.59,45.90
27.389037,39.04,0.17,-23.33,45.48
27.400665,39.04,0.45,-23.12,45.37
27.409177,38.79,0.38,-23.23,45.22
27.431480,38.59,0.32,-22.95,44.90
27.433952,38.49,0.39,-22.93,44.81
27.437894,38.53,0.38,-22.95,44.85
27.448496,38.36,0.28,-22.93,44.69
27.458561,38.36,0.34,-23.23,44.85
27.468708,38.19,0.47,-23.27,44.73
27.482046,38.16,0.49,-23.46,44.79
27.488661,37.91,0.60,-23.23,44.47
27.498921,37.78,0.69,-23.27,44.38
27.508327,37.86,0.62,-23.34,44.48
27.524150,37.65,0.43,-23.27,44.26
27.546821,37.63,0.49,-23.19,44.21
27.548893,37.73,0.47,-23.06,44.22
27.550780,37.78,0.41,-22.80,44.13
27.558123,37.89,0.30,-22.88,44.26
27.567971,38.10,0.08,-22.88,44.44
27.578045,38.08,0.17,-22.82,44.39
27.588107,38.14,0.17,-22.69,44.38
27.609039,38.42,0.13,-22.69,44.62
27.611549,38.51,0.38,-22.67,44.69
27.627632,38.16,0.47,-22.28,44.18
27.629017,38.23,0.56,-22.29,44.26
27.637768,38.25,0.64,-22.37,44.32
27.648418,38.14,0.69,-22.35,44.21
27.658203,38.23,0.75,-22.43,44.33
27.667752,38.25,0.56,-22.56,44.41
27.678069,38.16,0.81,-22.41,44.26
27.688018,38.16,0.68,-22.54,44.32
27.709468,37.99,0.47,-22.76,44.29
27.712091,38.03,0.41,-22.86,44.37
27.717746,38.10,0.26,-22.84,44.42
27.728588,38.19,0.53,-22.74,44.46
27.737941,38.44,0.34,-22.74,44.66
27.748379,38.34,0.38,-22.65,44.54
27.758309,38.40,0.23,-22.84,44.68
27.767654,38.44,0.19,-22.84,44.71
27.778136,38.48,0.21,-22.76,44.70
27.787698,38.53,0.24,-22.71,44.72
27.808941,38.23,0.26,-22.43,44.32
27.818824,38.08,0.26,-22.56,44.26
27.819814,37.99,0.11,-22.63,44.22
27.827531,37.78,0.23,-22.56,44.00
27.837817,37.82,0.38,-22.65,44.08
27.848471,37.54,0.41,-22.35,43.69
27.858219,37.91,0.45,-22.44,44.06
27.868609,37.91,0.45,-22.61,44.15
27.878123,37.82,0.51,-22.74,44.13
27.888198,37.78,0.39,-22.86,44.16
27.899825,37.50,0.54,-22.48,43.73
27.908385,37.59,0.54,-22.71,43.92
27.926432,37.43,0.49,-22.74,43.80
27.929368,37.58,0.47,-22.80,43.95
27.938107,37.11,0.47,-22.76,43.53
27.947743,37.11,0.51,-22.76,43.53
27.957757,37.39,0.58,-22.76,43.78
27.967807,37.39,0.53,-22.59,43.69
27.978076,37.58,0.53,-23.08,44.10
27.989026,37.52,0.53,-22.73,43.87
27.998958,37.41,0.53,-22.31,43.56
28.008090,37.12,0.58,-22.48,43.41
28.026451,37.58,0.86,-22.61,43.86
28.029340,37.67,0.94,-22.58,43.93
28.047678,37.52,0.88,-22.59,43.81
28.048600,37.88,0.99,-22.67,44.15
28.057872,37.93,0.98,-22.86,44.30
28.067608,38.10,0.92,-23.01,44.52
28.077794,38.49,0.92,-23.36,45.04
28.087798,38.94,0.73,-23.19,45.33
28.097445,38.78,0.54,-23.27,45.22
28.107398,38.74,0.32,-23.42,45.27
28.117867,38.89,0.28,-23.34,45.36
28.129532,38.64,0.36,-23.53,45.25
28.137621,38.55,0.45,-23.18,44.98
28.147695,38.61,0.47,-23.27,45.08
28.158574,38.53,0.36,-23.29,45.02
28.169297,38.29,0.49,-23.21,44.78
28.179107,38.34,0.51,-22.99,44.71
28.188882,38.29,0.43,-22.65,44.49
28.197773,38.31,0.45,-23.04,44.71
28.208415,38.51,0.38,-23.14,44.93
28.218739,38.36,0.38,-23.01,44.73
28.228926,38.44,0.41,-23.08,44.84
28.238889,38.29,0.47,-22.82,44.57
28.250632,38.36,0.39,-23.27,44.87
28.258143,38.49,0.23,-23.40,45.05
28.268687,38.33,0.30,-23.48,44.94
28.278519,38.34,0.43,-23.25,44.84
28.288392,38.21,0.43,-23.03,44.62
28.300693,38.48,0.26,-23.19,44.93
28.308657,38.44,0.26,-23.16,44.87
28.318085,38.51,0.36,-23.21,44.97
28.328445,38.62,0.32,-22.97,44.94
28.344797,38.42,0.49,-22.89,44.73
28.362825,38.42,0.43,-22.86,44.71
28.365345,38.55,0.43,-22.86,44.82
28.368226,38.36,0.47,-22.93,44.70
28.377936,38.38,0.62,-22.95,44.72
28.387671,38.36,0.41,-22.93,44.70
28.399741,38.40,0.36,-23.10,44.81
28.408039,38.34,0.68,-23.31,44.88
28.417684,38.21,0.73,-23.31,44.77
28.428235,38.44,1.03,-23.49,45.06
28.443473,38.16,0.83,-23.48,44.81
28.468456,38.29,0.75,-23.40,44.88
28.470290,38.16,0.64,-23.44,44.78
28.472339,37.95,0.64,-23.21,44.49
28.478937,37.88,0.53,-23.33,44.48
28.488339,37.93,0.36,-23.48,44.61
28.499809,37.91,0.30,-23.68,44.70
28.509048,37.86,0.02,-23.74,44.68
28.518550,37.74,0.04,-23.61,44.52
28.528993,37.65,0.13,-23.85,44.57
28.538430,37.69,0.02,-24.08,44.72
28.547922,37.88,0.19,-24.41,45.06
28.558122,37.76,0.13,-24.32,44.92
28.568159,37.54,0.13,-23.91,44.50
28.578645,37.44,0.21,-23.85,44.39
28.588156,37.46,0.28,-23.76,44.36
28.598305,37.43,0.38,-23.93,44.42
28.608357,37.63,0.30,-23.68,44.46
28.618340,37.59,0.54,-23.10,44.13
28.627858,37.44,0.58,-22.95,43.92
28.637989,37.67,0.94,-23.01,44.15
28.647857,37.84,0.88,-23.31,44.45
28.658014,38.14,0.60,-23.23,44.66
28.668335,37.99,0.60,-23.14,44.48
28.677803,38.44,0.54,-23.16,44.88
28.687351,38.46,0.60,-23.16,44.89
28.698140,38.40,0.73,-23.61,45.08
28.708346,38.57,0.66,-23.79,45.32
28.718614,38.34,0.39,-23.44,44.94
28.728796,38.12,0.34,-23.10,44.57
28.738263,38.08,0.60,-23.23,44.61
28.750598,38.10,0.62,-23.34,44.69
28.757994,38.01,0.53,-23.34,44.61
28.768023,37.91,0.45,-23.25,44.48
28.778562,38.10,0.17,-23.04,44.53
